timestamp,action,value,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32
410,5,0.0,0.5090000033378601,0.49149999022483826,0.5327473282814026,0.5250695943832397,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,3,0.0,0.5090000033378601,0.49149999022483826,0.5327473282814026,0.5250695943832397,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,3,0.0,0.5084999799728394,0.49149999022483826,0.5327473282814026,0.5250695943832397,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,7,0.0,0.5080000162124634,0.49149999022483826,0.5327473282814026,0.5260696411132812,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,1,0.0,0.5080000162124634,0.49149999022483826,0.5327473282814026,0.5260696411132812,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,3,0.0,0.5080000162124634,0.4909999966621399,0.5327473282814026,0.5260696411132812,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,9,0.0,0.5074999928474426,0.4909999966621399,0.5327473282814026,0.5260696411132812,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,5,0.0,0.5074999928474426,0.4909999966621399,0.5327473282814026,0.5260696411132812,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,8,0.0,0.5074999928474426,0.4909999966621399,0.5327473282814026,0.5260696411132812,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,0,0.0,0.5074999928474426,0.4909999966621399,0.5327473282814026,0.5260696411132812,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
